LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,,,,,,,
,vtype,id,semi,assign,literal,character,boolstr,addsub,multdiv,lparen,rparen,num,lbrace,rbrace,comma,if,while,comp,else,return,class,$,CODE',CODE,VDECL,ASSIGN,RHS,EXPR,TERM,FACTOR,FDECL,ARG,MOREARGS,BLOCK,STMT,COND,COND',ELSE,RETURN,CDECL,ODECL
0,s5,,,,,,,,,,,,,,,,,,,,s6,r4,,1,2,,,,,,3,,,,,,,,,4,
1,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,,,,,
2,s5,,,,,,,,,,,,,,,,,,,,s6,r4,,7,2,,,,,,3,,,,,,,,,4,
3,s5,,,,,,,,,,,,,,,,,,,,s6,r4,,8,2,,,,,,3,,,,,,,,,4,
4,s5,,,,,,,,,,,,,,,,,,,,s6,r4,,9,2,,,,,,3,,,,,,,,,4,
5,,s10,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
6,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,r3,,,,,,,,,,,,,,,,,,,
10,,,s13,s15,,,,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,r5,r5,,,,,,,,,,,,r5,,r5,r5,,,r5,r5,r5,,,,,,,,,,,,,,,,,,,
14,s19,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,
15,,s28,,,s22,s23,s24,,,s27,,s29,,,,,,,,,,,,,,,20,21,25,26,,,,,,,,,,,
16,r6,r6,,,,,,,,,,,,r6,,r6,r6,,,r6,r6,r6,,,,,,,,,,,,,,,,,,,
17,s5,,,,,,,,,,,,,r39,,,,,,,,,,,31,,,,,,32,,,,,,,,,,30
18,,,,,,,,,,,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,r13,,,,,s35,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,r15,,,,,r15,s36,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,s28,,,,,,,,s27,,s29,,,,,,,,,,,,,,,,37,25,26,,,,,,,,,,,
28,,,r17,,,,,r17,r17,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,r18,,,,,r18,r18,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,s5,,,,,,,,,,,,,r39,,,,,,,,,,,31,,,,,,32,,,,,,,,,,39
32,s5,,,,,,,,,,,,,r39,,,,,,,,,,,31,,,,,,32,,,,,,,,,,40
33,,,,,,,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,r23,,,,s43,,,,,,,,,,,,,,,,,,42,,,,,,,,
35,,s28,,,,,,,,s27,,s29,,,,,,,,,,,,,,,,44,25,26,,,,,,,,,,,
36,,s28,,,,,,,,s27,,s29,,,,,,,,,,,,,,,,,45,26,,,,,,,,,,,
37,,,,,,,,,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,r36,,,,,,,,,,,,,,,,,,,,r36,r36,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,s53,s54,,,,,,,,,,,,r25,,s51,s52,,,r25,,,,,49,50,,,,,,,,47,48,,,,,,
42,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,r12,,,,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,r14,,,,,r14,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,r16,,,,,r16,r16,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,s57,,,,,,,,,,,,,,,,,,,56,,
48,s53,s54,,,,,,,,,,,,r25,,s51,s52,,,r25,,,,,49,50,,,,,,,,58,48,,,,,,
49,r26,r26,,,,,,,,,,,,r26,,r26,r26,,,r26,,,,,,,,,,,,,,,,,,,,,
50,,,s59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,s61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,s62,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
54,,,,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,s63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,s64,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,s28,,,s22,s23,s24,,,s27,,s29,,,,,,,,,,,,,,,65,21,25,26,,,,,,,,,,,
58,,,,,,,,,,,,,,r24,,,,,,r24,,,,,,,,,,,,,,,,,,,,,
59,r27,r27,,,,,,,,,,,,r27,,r27,r27,,,r27,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,
61,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,
62,,,s13,s15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,r23,,,,s43,,,,,,,,,,,,,,,,,,69,,,,,,,,
64,r19,,,,,,,,,,,,,r19,,,,,,,r19,r19,,,,,,,,,,,,,,,,,,,
65,,,s70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,r32,,,,,,,s73,,,,,,,,,,,,,,,,,,,72,,,,
68,,,,,,,,,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,s75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,
74,,,,,,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,s53,s54,,,,,,,,,,,,r25,,s51,s52,,,r25,,,,,49,50,,,,,,,,78,48,,,,,,
76,,,,,,,,,,,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,s53,s54,,,,,,,,,,,,r25,,s51,s52,,,r25,,,,,49,50,,,,,,,,79,48,,,,,,
78,,,,,,,,,,,,,,s80,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,s81,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,r34,r34,,,,,,,,,,,,r34,,r34,r34,,s83,r34,,,,,,,,,,,,,,,,,,82,,,
81,r29,r29,,,,,,,,,,,,r29,,r29,r29,,,r29,,,,,,,,,,,,,,,,,,,,,
82,r28,r28,,,,,,,,,,,,r28,,r28,r28,,,r28,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,s84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,s53,s54,,,,,,,,,,,,r25,,s51,s52,,,r25,,,,,49,50,,,,,,,,85,48,,,,,,
85,,,,,,,,,,,,,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,r33,r33,,,,,,,,,,,,r33,,r33,r33,,,r33,,,,,,,,,,,,,,,,,,,,,
